1751504886060|2|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|select version()|select version()
1751505020397|2|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|select version()|select version()
1751505021182|138|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|select * from information_schema.sequences|select * from information_schema.sequences
1751505021786|98|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists common_code add column created_at timestamp(6)|alter table if exists common_code add column created_at timestamp(6)
1751505021789|3|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists common_code add column updated_at timestamp(6)|alter table if exists common_code add column updated_at timestamp(6)
1751505021883|84|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists common_code add column cate1 integer|alter table if exists common_code add column cate1 integer
1751505021897|13|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists common_code add column cate2 integer|alter table if exists common_code add column cate2 integer
1751505021905|8|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists common_code add column cate3 integer|alter table if exists common_code add column cate3 integer
1751505022187|280|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists common_code alter column code set data type varchar(255)|alter table if exists common_code alter column code set data type varchar(255)
1751505022190|3|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists common_code alter column description set data type varchar(255)|alter table if exists common_code alter column description set data type varchar(255)
1751505022197|7|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists common_code alter column display_name set data type varchar(255)|alter table if exists common_code alter column display_name set data type varchar(255)
1751505022396|197|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|create table consumer_site (site_id uuid not null, address text, contact varchar(100), create_at timestamp(6), site_name varchar(100), update_at timestamp(6), primary key (site_id))|create table consumer_site (site_id uuid not null, address text, contact varchar(100), create_at timestamp(6), site_name varchar(100), update_at timestamp(6), primary key (site_id))
1751505022784|387|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists menu alter column component set data type varchar(255)|alter table if exists menu alter column component set data type varchar(255)
1751505023384|599|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists menu alter column menu_code set data type varchar(255)|alter table if exists menu alter column menu_code set data type varchar(255)
1751505023682|297|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists menu alter column menu_name set data type varchar(255)|alter table if exists menu alter column menu_name set data type varchar(255)
1751505023884|201|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists menu alter column path set data type varchar(255)|alter table if exists menu alter column path set data type varchar(255)
1751505023887|3|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists role add column created_at timestamp(6)|alter table if exists role add column created_at timestamp(6)
1751505023982|94|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists role add column updated_at timestamp(6)|alter table if exists role add column updated_at timestamp(6)
1751505024182|199|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists role alter column description set data type varchar(255)|alter table if exists role alter column description set data type varchar(255)
1751505024289|106|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists role alter column role_name set data type varchar(255)|alter table if exists role alter column role_name set data type varchar(255)
1751505024389|99|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists users add column created_at timestamp(6)|alter table if exists users add column created_at timestamp(6)
1751505024393|3|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists users add column updated_at timestamp(6)|alter table if exists users add column updated_at timestamp(6)
1751505024504|111|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists users alter column del_yn set data type varchar(255)|alter table if exists users alter column del_yn set data type varchar(255)
1751505024599|94|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists users alter column password set data type varchar(255)|alter table if exists users alter column password set data type varchar(255)
1751505024603|4|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists users alter column user_name set data type varchar(255)|alter table if exists users alter column user_name set data type varchar(255)
1751505028986|2|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|select * from "public"."menu" where 1=0|select * from "public"."menu" where 1=0
1751505031972|1|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|select * from "public"."menu" where 1=0|select * from "public"."menu" where 1=0
1751505031988|2|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|select * from "public"."role" where 1=0|select * from "public"."role" where 1=0
1751505036984|1|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|select * from "public"."role" where 1=0|select * from "public"."role" where 1=0
1751505037170|85|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|select * from "public"."users" where 1=0|select * from "public"."users" where 1=0
1751505132484|85|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|select version()|select version()
1751505133203|0|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|set client_min_messages = WARNING|set client_min_messages = WARNING
1751505133295|91|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists menu drop constraint if exists FKgeupubdqncc1lpgf2cn4fqwbc|alter table if exists menu drop constraint if exists FKgeupubdqncc1lpgf2cn4fqwbc
1751505133382|86|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists role_menu drop constraint if exists FKfg4e2mb2318tph615gh44ll3|alter table if exists role_menu drop constraint if exists FKfg4e2mb2318tph615gh44ll3
1751505133390|8|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists role_menu drop constraint if exists FKqyvxw2gg2qk0wld3bqfcb58vq|alter table if exists role_menu drop constraint if exists FKqyvxw2gg2qk0wld3bqfcb58vq
1751505133489|99|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists user_role drop constraint if exists FKa68196081fvovjhkek5m97n3y|alter table if exists user_role drop constraint if exists FKa68196081fvovjhkek5m97n3y
1751505133492|2|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|alter table if exists user_role drop constraint if exists FKj345gk1bovqvfame88rcx7yyx|alter table if exists user_role drop constraint if exists FKj345gk1bovqvfame88rcx7yyx
1751505133783|291|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|drop table if exists common_code cascade|drop table if exists common_code cascade
1751505133982|198|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|drop table if exists consumer_site cascade|drop table if exists consumer_site cascade
1751505134484|501|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|drop table if exists menu cascade|drop table if exists menu cascade
1751505134782|297|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|drop table if exists role cascade|drop table if exists role cascade
1751505134892|109|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|drop table if exists role_menu cascade|drop table if exists role_menu cascade
1751505134994|101|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|drop table if exists user_role cascade|drop table if exists user_role cascade
1751505135182|188|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|drop table if exists users cascade|drop table if exists users cascade
1751505135296|109|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|create table common_code (cate1 integer, cate2 integer, cate3 integer, code_id integer generated by default as identity, folder_yn varchar(1), use_yn varchar(1), created_at timestamp(6), updated_at timestamp(6), code_type varchar(20), code varchar(255), description varchar(255), display_name varchar(255) not null, primary key (code_id))|create table common_code (cate1 integer, cate2 integer, cate3 integer, code_id integer generated by default as identity, folder_yn varchar(1), use_yn varchar(1), created_at timestamp(6), updated_at timestamp(6), code_type varchar(20), code varchar(255), description varchar(255), display_name varchar(255) not null, primary key (code_id))
1751505135396|99|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|create table consumer_site (create_at timestamp(6), update_at timestamp(6), site_id uuid not null, contact varchar(100), site_name varchar(100), address text, primary key (site_id))|create table consumer_site (create_at timestamp(6), update_at timestamp(6), site_id uuid not null, contact varchar(100), site_name varchar(100), address text, primary key (site_id))
1751505135591|193|statement|connection 0|url jdbc:p6spy:postgresql://192.168.0.156:31457/chungju|create table menu (depth integer not null, menu_id integer generated by default as identity, parent_id integer, sort_order integer not null, use_yn varchar(1), created_at timestamp(6), updated_at timestamp(6), component varchar(255), menu_code varchar(255) not null unique, menu_name varchar(255) not null, path varchar(255), primary key (menu_id))|create table menu (depth integer not null, menu_id integer generated by default as identity, parent_id integer, sort_order integer not null, use_yn varchar(1), created_at timestamp(6), updated_at timestamp(6), component varchar(255), menu_code varchar(255) not null unique, menu_name varchar(255) not null, path varchar(255), primary key (menu_id))
